Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,24858794,21936806,1191984,702309,249346,85203,693146
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105418,100301335,19853611,1147502,7691693,246518,2864759
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,156964212,122238141,21045595,1849811,7941039,331721,3557905
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,25618800,22681299,1136129,773939,248654,92206,686573
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,126162526,97017621,18068911,1115756,6969823,250698,2739717
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,151781326,119698920,19205040,1889695,7218477,342904,3426290
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477594,44618105,2328113,1476248,498000,177409,1379719
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258267944,197318956,37922522,2263258,14661516,497216,5604476
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308745538,241937061,40250635,3739506,15159516,674625,6984195
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,24859010,21936988,1192006,702315,249346,85203,693152
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,132110318,100305067,19854674,1147525,7691732,246524,2864796
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,156969328,122242055,21046680,1849840,7941078,331727,3557948
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,25619601,22682009,1136190,773950,248658,92208,686586
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,126169176,97021367,18071580,1115817,6969907,250709,2739796
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,151788777,119703376,19207770,1889767,7218565,342917,3426382
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50478611,44618997,2328196,1476265,498004,177411,1379738
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258279494,197326434,37926254,2263342,14661639,497233,5604592
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308758105,241945431,40254450,3739607,15159643,674644,6984330
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0100000US,,United States,25002708,22061398,1199381,706000,250750,85655,699524
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0100000US,,United States,132256742,100326704,19898392,1150320,7747458,247829,2886039
est72010,"July 1, 2010",female,Female,tothisp,Total,0100000US,,United States,157259450,122388102,21097773,1856320,7998208,333484,3585563
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0100000US,,United States,25751361,22794131,1143672,777736,250067,92672,693083
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0100000US,,United States,126337382,97067615,18117069,1118359,7020563,252055,2761721
est72010,"July 1, 2010",male,Male,tothisp,Total,0100000US,,United States,152088743,119861746,19260741,1896095,7270630,344727,3454804
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50754069,44855529,2343053,1483736,500817,178327,1392607
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258594124,197394319,38015461,2268679,14768021,499884,5647760
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0100000US,,United States,309348193,242249848,40358514,3752415,15268838,678211,7040367
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0100000US,,United States,25596508,22572096,1232884,720984,256788,87656,726100
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0100000US,,United States,132803490,100345313,20085989,1160940,7984683,253079,2973486
est72011,"July 1, 2011",female,Female,tothisp,Total,0100000US,,United States,158399998,122917409,21318873,1881924,8241471,340735,3699586
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0100000US,,United States,26309845,23269675,1177606,792104,255973,94767,719720
